,Url,Poster,Title,Synonym,Description,Type,Year,Studio,Age,Duration,Rating,Num votes,Безумие,Боевые искусства,Вампиры,Военное,Гарем,Демоны,Детектив,Детское,Дзёсэй,Драма,Игры,Исторический,Комедия,Космос,Магия,Машины,Меха,Музыка,Пародия,Повседневность,Полиция,Приключения,Психологическое,Романтика,Самураи,Сверхъестественное,Сёдзё,Сёдзё Ай,Сёнэн,Сёнэн-Aй,Спорт,Супер сила,Сэйнэн,Триллер,Ужасы,Фантастика,Фэнтези,Школа,Экшен,Этти
10,https://animego.org/anime/dobro-pozhalovat-v-ad-iruma-3-2127,https://animego.org/media/cache/thumbs_250x350/upload/anime/images/631dc09eb4ca0631363772.jpg,"Добро пожаловать в ад, Ирума! 3",Mairimashita! Iruma-kun 3rd Season,"Попавший по вине вздорных родителей в мир демонов, Судзуки Ирума стал приёмным внуком демона Салливана, директора демонической школы «Бэбилс». Дедушка пристроил внука в свою школу, и тот, пройдя через множество испытаний, успешно дожил до конца первого семестра и даже сумел значительно повысить свой ранг. Теперь та же непосильная задача стоит перед всеми его одноклассниками: они должны дружно достичь четвёртого ранга, а иначе их выдворят из королевского класса. Что ж, для этого им предоставится отличная возможность, ведь второй семестр — это время для проведения грандиозного мероприятия, известного под названием «Праздник урожая»!",ТВ Сериал,2022,Bandai Namco Pictures,16,24 мин. ,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
11,https://animego.org/anime/radost-podema-sleduyuschaya-vershina-2126,https://animego.org/media/cache/thumbs_250x350/upload/anime/images/631dbd1f7e954397015292.jpg,Радость подъема: Следующая вершина,Yama no Susume: Next Summit,,ТВ Сериал,2022,8bit,16,30 мин. ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,https://animego.org/anime/semya-shpiona-chast-2-2125,https://animego.org/media/cache/thumbs_250x350/upload/anime/images/631cbcdda8fae239603812.jpg,Семья шпиона. Часть 2,Spy x Family Part 2,"Вторая часть.Как люди ни ценили бы искренность и правду, ложь продолжает оставаться неизбывной частью жизни и, как ни парадоксально звучит, зачастую счастливой жизни, залогом которой она и служит. Это абсолютно верно в случае семьи Форджеров, само существование которой — сплошной обман. Каждый член этой поддельной семьи врёт остальным, скрывая правду о себе.Лойд Форджер скрывает, что он секретный агент Весталиса. Йор Форджер умалчивает, что является наёмной убийцей, работающей в Остании. Тем не менее правда об их фиктивном браке и настоящих профессиях известна «дочери» Лойда, Ане, которую тот взял из приюта, не подозревая, что та не так проста, как кажется. Девочка, прошедшая через эксперименты, обрела способность читать чужие мысли.Пример этой фальшивой семьи подтверждает, что существует ложь во спасение. Особенно, когда на кону стоит ни много ни мало — мир во всём мире и жизни невинных людей!",ТВ Сериал,2022,CloverWorks,16,24 мин. ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,https://animego.org/anime/moya-geroyskaya-akademiya-6-2124,https://animego.org/media/cache/thumbs_250x350/upload/anime/images/631cbbaf6e04c081607063.jpg,Моя геройская академия 6,Boku no Hero Academia 6th Season,Шестой сезон.,ТВ Сериал,2022,Bones,16,23 мин. ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,https://animego.org/anime/dlya-tebya-bessmertnyy-2-2123,https://animego.org/media/cache/thumbs_250x350/upload/anime/images/631b25d91e1d3624284250.jpg,"Для тебя, Бессмертный 2",Fumetsu no Anata e 2nd Season,Второй сезон.,ТВ Сериал,2022,0,18,25 мин. ,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,https://animego.org/anime/sinyaya-tyurma-blyu-lok-2122,https://animego.org/media/cache/thumbs_250x350/upload/anime/images/631b2384734ea115469400.jpg,Синяя тюрьма: Блю Лок,Blue Lock,"Осознав плачевное состояние японского футбола, национальная ассоциация решается на отчаянный шаг и нанимает Дзимпати Эго. Теперь на плечах этого загадочного и эксцентричного тренера лежит неподъёмная ответственность — привести Японию к победе на чемпионате мира по футболу. Полагая, что залог завоевания выигрыша — это агрессивный нападающий, Дзимпати организовывает специальный лагерь «Синюю тюрьму», где собирает триста талантливых страйкеров со всех средних школ Японии. Здесь, в условиях жёсткой конкуренции и безжалостного противостояния, ученики будут соревноваться между собой за право войти в национальную сборную. Ставки высоки. Место в команде только одно, и будет лишь один-единственный финалист, а проигравшим будет запрещено профессионально заниматься футболом.Среди прочих «счастливчиков» участником этого экстремального проекта становится Ёити Исаги, который завалил шанс команды участвовать в национальном турнире. В решающий момент вместо того, чтобы попытаться забить гол самостоятельно, Ёити сделал пас партнёру, удар которого прошёл мимо ворот. Мучимый вопросом «а что, если бы...», Ёити хватается за предоставившуюся возможность и вступает в проект. На что готов пойти Ёити, чтобы развеять свои сомнения и стать тем величайшим в мире нападающим, который приведёт Японию к славе?!",ТВ Сериал,2022,8bit,16,24 мин. ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
16,https://animego.org/anime/u-moego-mastera-net-hvosta-2121,https://animego.org/media/cache/thumbs_250x350/upload/anime/images/631b2144b9c4d930849277.jpg,У моего мастера нет хвоста,Uchi no Shishou wa Shippo ga Nai,,ТВ Сериал,2022,LIDEN FILMS,16,23 мин. ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,https://animego.org/anime/voshozhdenie-v-teni-2120,https://animego.org/media/cache/thumbs_250x350/upload/anime/images/6319d10357dec953113094.jpg,Восхождение в тени!,Kage no Jitsuryokusha ni Naritakute!,"Кем вы хотели стать в детстве? Известным футболистом? Супергероем? Или, быть может, певцом, собирающим огромную толпу на концертах? Всё это не про нашего главного героя Сида, ведь он всегда восхищался людьми из закулисья, теми, кто почти не предпринимает никаких действий в открытую, а появляется лишь в самый ответственный момент и, сделав дело, бесследно исчезает.В нашем мире такое трудно провернуть, ведь что ни делай, а против атомной бомбы не попрёшь. И вот, раздумывая о способах отражения ядерного оружия голыми руками, наш герой приходит к умозаключению, что без магии никак. Удобно получилось, ведь вскоре после этого парень встретил пресловутый грузовик, который и отправил его на тот свет, а если быть точнее, то в мир, полный мечей, магии и прочих прелестей фэнтези-вселенных. Уж теперь-то у Сида не будет препятствий на пути к становлению величайшим правителем из тени.",ТВ Сериал,2022,Nexus,16,24 мин. ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
18,https://animego.org/anime/chelovek-benzopila-2119,https://animego.org/media/cache/thumbs_250x350/upload/anime/images/6319cd947a99a365246749.jpg,Человек-бензопила,Chainsaw Man,"У Дэндзи есть мечта — жить мирной и счастливой жизнью, проводя время с любимой девушкой. Однако суровая реальность в лице некоего якудзы заставляет парня вернуться с небес на землю, ведь он вынужден убивать демонов, чтобы расплатиться с необъятными долгами покойного отца. Вместе со своим дьявольским питомцем Почитой, которого использует в качестве оружия, Дэндзи готов сделать что угодно, даже за небольшую плату.Вскоре парень изжил свою полезность и был убит демоном, заключившим контракт с якудзой. Но верный Почита спасает своего хозяина, заключив с ним контракт. Почита стал одним целым с умирающим Дэндзи, заменив ему сердце, и подарил ему силы человека-бензопилы. Теперь переродившийся Дэндзи, получив умение превращать части своего тела в бензопилы, использует новообретённые способности, чтобы быстро и жестоко расправляться с врагами. Попав под внимание Бюро общественной безопасности, парень получает работу охотника на демонов. Отныне, не страшась даже самых жестоких противников, Дэндзи не остановится ни перед чем, чтобы воплотить в жизнь свои мечты.",ТВ Сериал,2022,MAPPA,18,24 мин. ,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19,https://animego.org/anime/udzaki-hochet-tusovatsya-2-2118,https://animego.org/media/cache/thumbs_250x350/upload/anime/images/6319cce872189800810635.jpg,Удзаки хочет тусоваться! 2,Uzaki-chan wa Asobitai! Double,Второй сезон.,ТВ Сериал,2022,ENGI,16,23 мин. ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
